time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.16073047199e-07,-1.05716310008e-07,10.0087249687,6.28303185248,6.28295046525,0.0,1.72758267972e-05,-1.27821386026e-05,0.29080331628,-0.00823879651614,-0.013193113935,0.0,493.97778668997967,493.004192602326,494.3046219282948,493.6972699364598
0.12000000000000001,7.85448609939e-06,-5.23079487596e-06,10.0260048642,6.28227665933,6.2821067119,0.0,0.000311242252836,-0.00021041831609,0.285194621985,-0.0231295380833,-0.0158606671458,0.0,400.7030169459252,400.4605713211846,404.27113825346174,402.9274803009787
0.18,5.58656504468e-05,-4.50295061074e-05,10.0488725563,6.28100451327,6.28120154833,0.0,0.00139633244121,-0.00126959160612,0.47700043682,-0.01760308846,-0.0135802405573,0.0,464.9117356185269,465.0904607591664,465.2425759099705,465.6750237607944
0.23999999999999996,0.000197509857679,-0.000185289025842,10.0869096148,6.28014635904,6.28005637271,0.0,0.00345141194551,-0.00353232680928,0.79073736086,-0.00840651975958,-0.0333563956727,0.0,501.8461907480493,500.40893863715064,499.38792582358695,500.0583234702175
0.3,0.000479143305613,-0.000464031387689,10.1379937972,6.27946832285,6.27803322071,0.0,0.00614763364885,-0.00582018952498,0.911978394046,-0.0178284799184,-0.0344547086259,0.0,444.9094759685837,444.8190969954094,444.01173700589567,443.2383038413337
0.36000000000000004,0.000951713396567,-0.000886710478584,10.1938004821,6.27812580943,6.27602695917,0.0,0.00979300214571,-0.00837873675395,0.948213265683,-0.0335191167884,-0.0314779205608,0.0,417.3360427153054,417.5952300393603,417.30508797861535,415.93325427264773
0.4200000000000001,0.00168076187749,-0.00149172097318,10.2518678145,6.27613090461,6.27384396825,0.0,0.0146953901919,-0.0119743487405,0.987328674279,-0.0327125406425,-0.048647558599,0.0,419.27601200441393,417.7810604146677,417.5815717579825,417.6514039716269
0.48000000000000015,0.00276478682752,-0.0023619935331,10.3139146692,6.27416598408,6.27082996073,0.0,0.0217374552021,-0.0172325126816,1.08081098144,-0.0328210289048,-0.0536092282236,0.0,436.54606760101314,436.13025065926763,435.3502146214268,435.3407028398531
0.5400000000000001,0.00436902255497,-0.00361330778472,10.3842754679,6.27177209213,6.26772194461,0.0,0.0320960663069,-0.0247184388124,1.26435651204,-0.0603736275393,-0.0484089790264,0.0,462.88026520951837,463.2876544153115,465.70355566532976,463.54273674593213
0.6000000000000002,0.00663308703915,-0.00535213327217,10.4636541512,6.26832749629,6.26528241075,0.0,0.0436464228551,-0.0336094837533,1.38145559879,-0.0520607390035,-0.0284741155373,0.0,442.5534345289425,444.19011257431,444.1565214725357,444.8354024162538
0.6600000000000003,0.00965476511888,-0.00770994430523,10.5510057728,6.26545105683,6.26379019002,0.0,0.0572465414147,-0.0453077069236,1.53006891785,-0.0407661046657,-0.0184937389741,0.0,453.70128743867383,454.5017097905314,453.4584761071404,454.3634085290899
0.7200000000000003,0.0135366522037,-0.0108438615716,10.6479866457,6.26281279423,6.2621289891,0.0,0.0722836684251,-0.0594372385228,1.70237729417,-0.0513042546281,-0.0614285836426,0.0,462.3608555642991,458.96557994886365,462.99794388177713,462.1671350719058
0.7800000000000004,0.01841501874,-0.0149309808542,10.757362525,6.25920095356,6.25819446827,0.0,0.0907861862764,-0.0771863729483,1.94308763365,-0.0913038048276,-0.0755186842196,0.0,483.4056559181339,482.3399364023497,483.2885957800437,480.26165776372824
0.8400000000000004,0.0243323460281,-0.0200170377909,10.8744819364,6.25330774147,6.25342429874,0.0,0.106873637734,-0.0928532028446,1.96083618941,-0.117959918827,-0.088974270959,0.0,414.41641070334725,413.2263566310519,415.2190811780669,412.864503454946
0.9000000000000005,0.0315132765063,-0.0263687286361,10.9994911971,6.2462387019,6.24883335702,0.0,0.133080703048,-0.119728300227,2.20564892688,-0.11753392439,-0.0590652203177,0.0,483.83807019676055,486.07999529061277,483.99780706718093,484.01864753554565
0.9600000000000005,0.0402789012252,-0.0344052086566,11.136454295,6.23921209759,6.24530432174,0.0,0.159484714379,-0.148915941519,2.35943376927,-0.116276342468,-0.0583260883503,0.0,457.48103692123226,457.53757459225557,459.6275298179225,459.7153838882543
1.0200000000000005,0.0506203024264,-0.044247918669,11.280399342,6.23208709084,6.24233660538,0.0,0.185537567958,-0.179862964923,2.43851807846,-0.124218119579,-0.0359219339066,0.0,435.1407374205711,437.0104326809414,436.37780890564636,435.7013442248983
1.0800000000000005,0.0625324329464,-0.0560316049424,11.4279326379,6.22450428842,6.24028529466,0.0,0.211724948456,-0.213621758899,2.47911783615,-0.131092986077,-0.0309300446473,0.0,423.47446982295355,423.90309034744746,424.7047902777396,424.0993074612127
1.1400000000000006,0.076188020329,-0.0701710936066,11.5809951879,6.2173453182,6.23808960641,0.0,0.243662337433,-0.258481636484,2.62257934105,-0.102563931498,-0.0514195000548,0.0,458.41299811480457,456.7813202841268,455.2234002001801,457.4875595186446
